name,height_cm,weight_kg,bra,bust_in,waist_in,hips_in
Aaliyah Hadid,168,56,34D,38,24,36
Aaliyah Jolie,173,55,34A,35,26,34
Aaliyah Love,157,48,33A,34,25,34
Aaralyn Barra,162,50,34C,37,25,36
Abbey Brooks,170,57,36DD,41,27,36
Abbey Rain,165,48,32DD,37,25,33
Abbi Roads,170,55,34B,36,25,36
Abbie Cat,170,54,32D,36,24,35
Abby Byens,160,50,30B,32,21,31
Abby Cross,158,54,34B,36,26,34
Abby Lee Brazil,173,57,34C,37,26,35
Abby Marie,165,56,32DD,37,25,33
Abelinda,167,46,32A,33,24,33
Abella Anderson,157,49,34D,38,26,38
Abella Danger,162,59,32C,35,24,32
Abi Grace,167,48,32B,34,24,34
Abigail Fraser,173,59,36DD,41,25,34
Abigail Mac,157,48,34D,38,24,36
Abigaile Johnson,165,50,34B,36,23,35
Abrill Gerald,173,54,34A,35,24,36
Ada Sanchez,150,50,36F,43,24,36
Addee Kate,167,55,32B,34,24,34
Addie Andrews,173,55,32D,36,25,36
Addison Avery,175,55,33C,36,25,35
Addison Cain,168,52,32A,33,24,36
Addison Lee,167,61,34C,37,26,36
Addison ORiley,178,57,34C,37,24,36
Addison Rose,162,48,32B,34,24,34
Adel Asanty,157,50,32C,35,24,36
Adel Bye,170,48,34A,35,26,30
Adele Adelia,172,48,34C,37,27,38
Adele Sunshine,165,54,36B,38,32,36
Adella Skyy,167,67,34DD,39,26,38
Adessa Winters,160,48,32DD,37,28,33
Adira Allure,170,57,34B,36,28,35
Adria Rae,166,52,32B,34,25,33
Adriana Chechik,157,52,32A,33,24,36
Adriana Deville,165,55,34C,37,25,34
Adriana Kelly,160,48,32D,36,24,34
Adriana Luna,160,52,34D,38,28,30
Adriana Russo,160,54,34D,38,23,34
Adriana Sage,173,57,34B,36,25,35
Adriana Sephora,170,61,32DD,37,28,38
Adrianna Nicole,170,64,34D,38,27,37
Aeryn Walker,168,60,34DDD,40,29,36
Afina Kisser,176,57,35B,37,25,37
Afra Red,171,52,36C,39,23,37
Africa,170,97,40L,52,34,43
Aften Opal,152,48,32B,34,24,34
Agatha Moreno,165,53,36C,39,32,38
Ahryan Astyn,165,56,36DD,41,25,38
Ai Himeno,156,42,30B,32,23,33
Ai Uehara,155,45,33C,36,22,32
Aicha Lark,165,52,34A,35,25,36
Aida Sweet,165,47,36C,39,24,36
Aida Swinger,161,62,38C,41,27,38
Aiden Ashley,168,50,32C,35,25,33
Aiden Aspen,160,45,32B,34,23,34
Aiden Starr,150,57,34D,38,25,32
Aidra Fox,170,57,34C,37,25,35
Aimee Addison,173,50,34C,37,24,34
Aimee Ryan,176,52,30A,31,24,30
Airi Ai,172,59,43G,52,24,35
Airu Oshima,155,50,40G,49,23,35
AJ Applegate,157,54,34B,36,28,38
AJ Estrada,170,55,34B,36,23,34
Ajaa Xxx,160,50,32B,34,24,32
Alaina Dawson,161,48,34A,35,24,34
Alaina Fox,171,55,35C,38,27,34
Alaina Kristar,161,46,32A,33,25,34
Alana Evans,168,49,36DD,41,34,38
Alana Freitas,160,52,34D,38,24,38
Alana Lace,168,55,38F,45,34,42
Alana Leigh,165,58,36B,38,27,34
Alana Rains,176,59,34B,36,26,36
Alana Summers,152,43,34B,36,24,34
Alanah Rae,170,59,34DD,39,27,38
Alani Pi,167,52,32B,34,26,36
Alaura Eden,168,55,34C,37,26,36
Alba De Silva,170,58,34D,38,24,33
Alby Daor,161,48,34B,36,26,36
Alby Ryder,170,55,34D,38,27,37
Aleksa Diamond,162,50,34C,37,25,36
Alektra Blue,167,52,34C,37,24,35
Alessa Savage,173,57,36D,40,28,40
Alessandra Jane,160,47,32D,36,23,34
Alessandra Maia,167,62,35C,38,24,39
Alessandra Miller,163,57,36DDD,42,26,36
Alessandra Noir,157,50,34C,37,25,31
Alessia Luna,160,50,34D,38,24,36
Aletta Black,156,41,35C,38,24,36
Aletta Ocean,172,58,38DDD,44,26,37
Alex Black,163,57,34DDD,40,27,38
Alex Blake,170,59,36C,39,24,36
Alex Chance,173,67,36DD,41,30,38
Alex Coal,165,66,34B,36,24,38
Alex Devine,155,54,36C,39,29,37
Alex Giovanni,165,50,34E,40,26,34
Alex Grey,157,45,34B,36,22,32
Alex Little,142,43,32B,34,22,33
Alex Mae,160,48,33A,34,22,33
Alexa Aimes,158,46,30F,37,23,33
Alexa B.,163,50,34C,37,22,32
Alexa Bold,170,59,34D,38,25,36
Alexa Cruz,165,55,34D,38,25,34
Alexa Grace,177,58,32A,33,22,32
Alexa Jaymes,168,57,34B,36,26,34
Alexa Jordan,165,59,34B,36,28,36
Alexa Lynn,160,45,34A,35,24,34
Alexa May,165,48,34A,35,26,35
Alexa Nicole,154,48,32D,36,24,33
Alexa Nova,161,49,32B,34,24,36
Alexa Pearl,155,47,32DDD,38,24,36
Alexa Pierce,155,52,32DD,37,24,30
Alexa Rae,170,52,34D,38,22,34
Alexa Raye,161,45,34C,37,27,36
Alexa Rydell,162,48,32B,34,23,34
Alexa Tomas,170,54,32B,34,24,35
Alexa Weix,157,48,34C,37,24,34
Alexandra Belle,168,50,32A,33,24,32
Alexandra Silk,160,47,34C,37,24,32
Alexandra Sivroskya,167,59,34DDD,40,24,36
Alexia Gold,152,50,34C,37,25,36
Alexia Rae,168,57,34DDD,40,28,36
Alexia Sky,156,45,33A,34,24,34
Alexia Vosse,157,50,32DD,37,24,38
Alexis Adams,165,51,34C,37,27,35
Alexis Amore,155,52,34DD,39,25,34
Alexis Blaze,155,50,36C,39,24,34
Alexis Capri,167,50,36B,38,24,34
Alexis Crystal,168,52,34A,35,25,35
Alexis Fawx,162,45,32DDD,38,24,33
Alexis Ford,163,55,33D,37,25,33
Alexis Golden,170,61,36DDD,42,25,35
Alexis Grace,173,62,36DD,41,26,37
Alexis Love,160,48,32B,34,25,32
Alexis Malone,170,57,34DD,39,25,36
Alexis May,157,50,34DD,39,24,33
Alexis Monroe,163,55,32D,36,27,32
Alexis Ramirez,162,55,34DD,39,27,36
Alexis Silver,160,59,32GG,42,26,32
Alexis Texas,173,64,34C,37,27,40
Alexis Venton,163,50,34B,36,24,35
Alexis Zara,168,52,34D,38,27,37
Alexsis Faye,175,80,34J,47,30,40
Alexxa Vice,167,54,32FF,40,26,34
Alia Janine,180,66,34FF,42,24,36
Alia Starr,165,57,34F,41,26,36
Aliana Love,165,59,34C,37,29,36
Alice Bell,168,59,36C,39,28,41
Alice Campbell,172,59,34B,36,25,35
Alice Chambers,178,61,32DD,37,29,37
Alice Coxxx,162,50,34B,36,24,34
Alice Frost,171,59,34DDD,40,28,38
Alice Green,160,48,33B,35,25,33
Alice Lighthouse,160,52,32D,36,24,36
Alice March,154,43,32A,33,26,34
Alice Miller,167,50,34D,38,24,36
Alice Nice,167,58,34C,37,29,36
Alice Nysm,178,75,38C,41,30,38
Alice Romain,168,54,32DD,37,24,36
Alice Wayne,160,50,36DD,41,24,36
Alice White,168,61,34D,38,27,32
Alice Wonder,162,51,34DD,39,24,34
Alicia Alighatti,170,55,34C,37,26,36
Alicia Angel,165,48,32B,34,22,32
Alicia Rhodes,162,52,34E,40,26,34
Alicia Rio,157,50,34C,37,25,36
Alicia Secrets,171,52,34DD,39,26,34
Alicia Silver,165,66,36B,38,26,34
Alin X,157,50,32B,34,23,30
Alina Ali,170,66,34D,38,24,36
Alina Belle,154,57,32DD,37,27,38
Alina Li,172,50,34B,36,21,34
Alina Lopez,167,55,32C,35,24,32
Aline,168,54,34D,38,24,34
Alisha Adams,170,55,34C,37,28,35
Alison Avery,168,59,34DD,39,24,35
Alison Faye,167,47,32B,34,24,34
Alison Rey,157,52,34B,36,26,35
Alison Sault,165,60,30DDD,36,27,36
Alison Star,160,42,36DD,41,23,33
Alison Tyler,180,75,36DDD,42,30,34
Alisya Gapes,162,48,34A,35,24,36
Alix Lakehurst,160,67,43F,50,31,44
Aliya Brynn,166,52,32B,34,24,34
Alli Rae,168,52,32D,36,25,34
Allie Addison,157,42,32AA,32,22,32
Allie Eve Knox,175,55,32B,34,26,37
Allie Foster,156,52,38D,42,27,36
Allie Haze,165,57,32A,33,26,38
Allie James,175,57,36C,39,29,37
Allie Jordan,154,50,34B,36,23,34
Allie Nicole,158,50,32B,34,24,32
Allie Ray,157,52,32B,34,26,35
Allison Banks,157,46,34B,36,26,32
Allison Kilgore,165,52,38DD,43,25,37
Allison Moore,166,52,32DD,37,26,34
Allison Pierce,167,52,34C,37,27,34
Allison Wyte,162,48,34B,36,23,36
Alliyah Sky,162,57,34B,36,27,34
Allora Ashlyn,165,50,34B,36,24,34
Ally Ann,165,57,34B,36,28,36
Ally Breelsen,167,50,35A,36,25,37
Ally Brooks,163,57,34B,36,27,30
Ally Cooper,160,50,34D,38,24,36
Ally Kay,165,55,34A,35,25,38
Ally Style,157,48,36B,38,25,34
Ally Tate,163,52,34A,35,24,35
Allysa Allure,163,52,34B,36,26,35
Allysin Chaines,152,43,34C,37,23,32
Allyssa Hall,157,54,34B,36,22,33
Alura Jenson,173,75,36I,45,29,42
Alyce Anderson,160,51,32C,35,26,37
Alycia Starr,161,67,36C,39,29,50
Alysa Moore,149,50,34D,38,26,32
Alysha Rylee,180,59,34D,38,24,35
Alyssa Branch,162,55,34A,35,25,37
Alyssa Cole,170,55,32C,35,25,38
Alyssa Divine,160,48,30F,37,26,32
Alyssa Lynn,160,50,32F,39,25,36
Alyssa Reece,163,50,34B,36,25,34
Alyssia Kent,165,47,34B,36,23,36
Amabella,168,54,34D,38,24,36
Amanda Blow,165,52,34B,36,24,34
Amanda Blue,157,45,34C,37,24,34
Amanda Bryant,173,49,34C,37,24,36
Amanda Lane,171,59,34C,37,24,34
Amanda Monroe,165,50,34A,35,27,37
Amanda Tate,173,57,32B,34,29,34
Amanda Vamp,170,50,34A,35,24,37
Amanda X,165,59,38E,44,26,41
Amandha Fox,172,57,34D,38,24,35
Amara Romani,157,50,34B,36,24,36
Amarna Miller,163,50,33C,36,23,35
Amaya May,171,77,38G,47,37,44
Amazon Darjeeling,175,109,40F,47,33,44
Amber Alexis,170,64,36D,40,26,36
Amber Ashlee,160,50,34D,38,26,37
Amber Chase,165,52,34A,35,25,34
Amber Cox,167,48,32D,36,22,33
Amber Daikiri,167,55,36A,37,25,36
Amber Deen,149,51,34D,38,24,35
Amber Faye,166,55,32B,34,24,30
Amber Gray,162,50,34C,37,25,36
Amber Ivy,163,55,34C,37,26,36
Amber Jane,167,51,32DD,37,28,34
Amber Leigh,166,59,34DD,39,26,36
Amber Lynn,170,52,36D,40,24,35
Amber Lynn Bach,162,55,32DDD,38,24,34
Amber Michaels,163,52,32DDD,38,24,35
Amber Nevada,169,55,34A,35,24,36
Amber Peach,157,54,34B,36,26,36
Amber Rayne,160,50,34A,35,22,34
Amber Sky,157,57,34A,35,27,39
Amber Stars,157,60,36C,39,26,36
Amber Wildee,155,43,32A,33,22,32
Amelia Rose,168,48,34B,36,24,36
Amelie Pure,162,52,32A,33,23,34
America Moore,175,59,36DD,41,25,38
Ami Emerson,168,59,36B,38,27,38
Amia Miley,160,43,30D,34,23,32
Amile Waters,165,59,36B,38,28,38
Amilia Onyx,170,64,36D,40,24,36
Amina Danger,170,55,34D,38,26,38
Amina Kiuchi,155,48,33B,35,22,34
Amirah Adara,167,46,32A,33,23,34
Amy Anderssen,167,57,40HH,52,26,36
Amy Brooke,163,49,34C,37,24,36
Amy Faye,152,48,32A,33,25,36
Amy Moore,175,59,32B,34,29,36
Amy Parks,162,54,36A,37,24,36
Amy Pink,163,53,32B,34,24,35
Amy Reid,170,53,34DD,39,23,35
Amy Starz,160,52,34B,36,29,32
Amy Summers,160,50,32C,35,24,36
Amyka Lee,152,55,34F,41,26,39
Ana Bell Evans,159,65,32DD,37,22,34
Ana Foxxx,175,59,32B,34,26,36
Ana Marco,166,50,34B,36,23,35
Ana Monte Real,165,54,34D,38,26,35
Ana Ribera,168,52,34D,38,24,35
Ana Rose,172,48,34C,37,25,36
Ana Rose,168,57,34A,35,24,34
Anabell Bella,157,47,36B,38,25,35
Anabelle Pync,163,57,34D,38,26,35
Ananta Shakti,177,52,38A,39,24,35
Anastasia Black,175,61,32C,35,24,34
Anastasia Brokelyn,163,54,35B,37,25,36
Anastasia Brokelyn,155,50,34A,35,24,37
Anastasia Christ,173,62,36C,39,27,36
Anastasia Devine,170,49,36D,40,27,37
Anastasia Knight,162,48,34A,35,22,32
Anastasia Morna,175,61,34B,36,21,34
Anastasia Pierce,178,59,36C,39,26,36
Anastasia Rose,163,52,34D,38,25,36
Anaya Leon,157,49,32B,34,24,34
Ander Ways,167,50,32A,33,25,34
Andi Anderson,160,50,34DD,39,24,34
Andi James,170,67,38F,45,36,42
Andi Rye,175,50,32A,33,25,33
Andie Darling,162,53,34D,38,25,35
Andrea Kelly,152,47,34B,36,24,34
Andrea Mirage,167,48,34B,36,24,34
Andrea Sultisz,165,57,34C,37,21,35
